customer_id,touchpoint_sequence,channel,action_type,product_category,days_since_first_touch,session_duration_minutes,device_type,location_type,marketing_source,product_views,items_in_cart,cart_value,conversion_flag,touchpoint_timestamp,page_depth,assisted_by_staff,personalization_shown,inventory_checked,price_checked,reviews_viewed,comparison_products,promo_code_applied,loyalty_points_earned,cross_sell_shown
C001,1,Website,Browse,Electronics,0,12,Desktop,Home,Direct,3,0,0,No,12/20/24 10:30,5,No,No,No,Yes,Yes,2,No,0,No
C001,2,Website,Add to Cart,Electronics,0,8,Desktop,Home,Direct,1,1,899.99,No,12/20/24 10:42,3,No,Yes,Yes,No,No,0,No,0,No
C001,3,Email,Open,Electronics,1,2,Mobile,Work,Email Campaign,0,0,0,No,12/21/24 8:15,1,No,No,No,No,No,0,No,0,No
C001,4,Mobile App,Browse,Electronics,1,15,Mobile,Commute,Email Link,4,0,0,No,12/21/24 8:30,6,No,Yes,Yes,Yes,Yes,3,No,0,Yes
C001,5,Email,Click,Electronics,2,1,Desktop,Home,Remarketing,0,0,0,No,12/22/24 19:00,1,No,No,No,No,No,0,Yes,0,No
C001,6,Website,Review Cart,Electronics,2,5,Desktop,Home,Email Link,1,1,899.99,No,12/22/24 19:05,2,No,Yes,No,No,No,0,Yes,0,No
C001,7,Store,Purchase,Electronics,3,45,In-Person,Store,Online Research,1,1,899.99,Yes,12/23/24 14:30,0,Yes,No,Yes,No,No,0,Yes,50,Yes
C002,1,Email,Open,Apparel,0,1,Mobile,Home,Newsletter,0,0,0,No,12/19/24 7:00,1,No,No,No,No,No,0,No,0,No
C002,2,Email,Click,Apparel,0,1,Mobile,Home,Newsletter,0,0,0,No,12/19/24 7:01,1,No,No,No,No,No,0,No,0,No
C002,3,Website,Browse,Apparel,0,25,Mobile,Home,Email Link,8,0,0,No,12/19/24 7:02,12,No,Yes,Yes,Yes,Yes,5,No,0,No
C002,4,Website,Purchase,Apparel,1,10,Tablet,Home,Direct,2,1,127.5,Yes,12/20/24 20:00,4,No,Yes,No,No,No,1,Yes,10,No
C003,1,Store,Browse,Home,0,30,In-Person,Store,Walk-in,5,0,0,No,12/18/24 13:00,0,Yes,No,Yes,No,No,0,No,0,No
C003,2,Store,Purchase,Home,0,15,In-Person,Store,Walk-in,1,1,340,Yes,12/18/24 13:30,0,Yes,No,No,No,No,0,No,0,No
C004,1,Social,Discover,Beauty,0,5,Mobile,Home,Instagram,0,0,0,No,12/15/24 21:00,1,No,No,No,No,No,0,No,0,No
C004,2,Social,Click,Beauty,0,1,Mobile,Home,Instagram,0,0,0,No,12/15/24 21:05,1,No,No,No,No,No,0,No,0,No
C004,3,Website,Browse,Beauty,0,18,Mobile,Home,Social Link,6,0,0,No,12/15/24 21:06,8,No,Yes,Yes,Yes,Yes,4,No,0,No
C004,4,Mobile App,Browse,Beauty,1,10,Mobile,Work,Direct,3,0,0,No,12/16/24 12:00,4,No,Yes,No,No,Yes,2,No,0,No
C004,5,Email,Open,Beauty,2,1,Desktop,Work,Abandoned Cart,0,0,0,No,12/17/24 9:00,1,No,No,No,No,No,0,No,0,No
C004,6,Website,Add to Cart,Beauty,3,8,Desktop,Work,Email Link,2,1,89.99,No,12/18/24 10:00,3,No,Yes,Yes,No,No,1,Yes,0,No
C004,7,Social,Engage,Beauty,4,3,Mobile,Home,Instagram,0,0,0,No,12/19/24 20:00,1,No,No,No,No,No,0,No,0,No
C004,8,Mobile App,Purchase,Beauty,5,5,Mobile,Home,Push Notification,1,1,89.99,Yes,12/20/24 21:00,2,No,Yes,No,No,No,0,Yes,15,Yes
C005,1,Website,Browse,Electronics,0,45,Desktop,Home,Search,12,0,0,No,12/18/24 19:00,20,No,No,Yes,Yes,Yes,8,No,0,No
C005,2,Call Center,Inquiry,Electronics,1,15,Phone,Home,Direct,0,0,0,No,12/19/24 14:00,0,Yes,No,Yes,Yes,No,0,No,0,No
C005,3,Website,Abandon,Electronics,2,20,Desktop,Home,Direct,5,1,1299,No,12/20/24 20:00,8,No,Yes,No,No,Yes,3,No,0,No
C006,1,Mobile App,Browse,Apparel,0,8,Mobile,Commute,Direct,3,0,0,No,12/10/24 7:30,4,No,Yes,No,No,No,1,No,0,No
C006,2,Website,Browse,Apparel,0,22,Desktop,Work,Direct,7,0,0,No,12/10/24 12:00,10,No,Yes,Yes,Yes,Yes,4,No,0,No
C006,3,Store,Try On,Apparel,1,40,In-Person,Store,Online Research,4,0,0,No,12/11/24 13:00,0,Yes,No,Yes,No,No,0,No,0,No
C006,4,Mobile App,Add to Cart,Apparel,2,12,Mobile,Home,Push Notification,2,2,234.99,No,12/12/24 20:00,3,No,Yes,No,No,No,1,No,0,Yes
C006,5,Social,Share,Apparel,3,2,Mobile,Home,Instagram,0,0,0,No,12/13/24 18:00,1,No,No,No,No,No,0,No,0,No
C006,6,Email,Open,Apparel,4,1,Mobile,Work,Cart Reminder,0,0,0,No,12/14/24 9:00,1,No,No,No,No,No,0,Yes,0,No
C006,7,Website,Review,Apparel,4,15,Desktop,Work,Email Link,3,2,234.99,No,12/14/24 9:30,5,No,Yes,Yes,No,Yes,2,Yes,0,No
C006,8,Store,Browse,Apparel,5,25,In-Person,Store,Direct,3,0,0,No,12/15/24 14:00,0,Yes,No,Yes,No,No,0,No,0,No
C006,9,Mobile App,Browse,Apparel,5,10,Mobile,Store,In-Store Wifi,2,2,234.99,No,12/15/24 14:30,3,No,Yes,Yes,No,No,1,Yes,0,No
C006,10,Email,Click,Apparel,6,1,Desktop,Home,Promotional,0,0,0,No,12/16/24 19:00,1,No,No,No,No,No,0,Yes,0,No
C006,11,Website,Checkout,Apparel,6,8,Desktop,Home,Email Link,1,2,234.99,No,12/16/24 19:10,4,No,Yes,No,No,No,0,Yes,0,Yes
C006,12,Store,Purchase,Apparel,7,20,In-Person,Store,BOPIS,0,1,234.99,Yes,12/17/24 12:00,0,Yes,No,No,No,No,0,Yes,25,Yes
C007,1,Store,Browse,Sports,0,35,In-Person,Store,Walk-in,6,0,0,No,12/19/24 15:00,0,Yes,No,Yes,Yes,No,0,No,0,No
C007,2,Store,Try Product,Sports,0,20,In-Person,Store,Walk-in,2,0,0,No,12/19/24 15:35,0,Yes,No,No,No,No,0,No,0,No
C007,3,Mobile App,Browse,Sports,0,15,Mobile,Store,In-Store Wifi,4,0,0,No,12/19/24 15:55,6,No,Yes,Yes,Yes,Yes,3,No,0,No
C007,4,Mobile App,Add to Cart,Sports,1,8,Mobile,Home,Direct,2,1,156,No,12/20/24 20:00,3,No,Yes,No,No,No,1,No,0,No
C007,5,Mobile App,Purchase,Sports,1,5,Mobile,Home,Direct,1,1,156,Yes,12/20/24 20:08,2,No,Yes,No,No,No,0,Yes,10,No
